5.06,2.57,3.61,3.65,8.02,5.24,4.11,6.04,9,2.3,4.77,6.39
5.96,3.78,2.72,3.6,4.78,0.24,3.76,3.65,4.19,2.52,1.64,2.89
2.37,3.82,4.36,2.14,3.67,2.69,5.14,4.97,3.52,1.92,5.5,3.77
3.2,4.23,5.19,2.98,4.16,3.7,3.99,2.91,1.77,4.38,6.74,5.49
5.17,2.24,5.46,6.58,5.72,3.66,4.75,7.33,3.71,0.84,4.85,4.19
5.19,2.64,6.91,5.41,5.79,2.9,3.89,3.39,1.44,3.73,2.92,4.34
2.12,1.79,3.72,3.52,3.86,1.12,1.71,6.76,5.64,2.26,5.16,3.68
0.68,3.03,4.58,2.59,1.43,4.1,1.14,11.44,2.45,6.96,2.2,0.39
2.46,4.98,4.92,3.21,2.71,4.49,5.72,3.49,3.43,4.27,3.82,4.28
1.93,2.73,3.22,4.65,1.63,2.22,1.34,2.17,2.88,2.73,4.08,6.33
4.86,4.78,5.36,5.72,4.42,3.14,6.07,6.21,3.78,5.41,2.74,1.57
2.26,2.02,3.95,2.9,1.86,3.97,7.35,5.05,1.89,4.55,4.32,4.1
3.19,4.42,2.4,2.99,3.72,1.98,7.4,4.67,7.73,2.34,2.22,3.05
3.14,3.68,5.44,4.97,3.58,3.1,6.11,4.08,2.64,2.78,2.54,3.47
2.91,3.98,3.67,3.94,1.66,4.36,2.95,5.87,3.64,2.6,4.87,2.76
2.5,2.37,4.31,0.9,2.64,2.67,2.73,2.88,4.76,0.32,6.94,2.13
4.67,3.44,2.11,5.99,0.94,2.16,4.83,0.9,3.22,1.91,1.97,4.49
3.08,2.57,3.31,2.49,1.63,1.77,3.27,3.44,2.43,2.12,1.44,1.81
3.2,4.11,1.7,2.92,3.97,1.15,2.08,2.44,7.82,4.72,2.72,3.93
1.35,2.42,5.14,2.81,3.93,2.79,6.04,9.11,2.15,2.4,1.98,5.76
2.56,1.07,5.08,2.05,6.15,5.33,2.1,2.96,1.55,2.7,4.87,3.31
2.12,2.61,3.02,3.04,2.49,3.8,9.6,3.64,4.4,1.77,3.19,7.21
0.97,3.03,3.83,5.21,2.68,3.83,3.28,3.37,1.6,3.74,5.4,2.84
2.56,5.36,3.02,2.59,4.19,1.34,4.34,10.36,5.68,4.69,5.33,1.98
2.74,4.79,3.4,3.77,5.5,8.41,3.96,2,2.37,5.45,9.06,6.11
4.25,3.71,3.65,6.64,4.87,5.92,3.26,3,3.54,3.94,1.43,7.29
3.58,2.14,5.19,3.19,3.67,3.59,2.14,6.34,5.54,2.11,1.49,5.15
5.33,3.29,4.26,3.42,4.68,6.38,9.06,3.85,8.16,3.88,3.75,2.79
5.35,2.5,2.06,2.09,3.68,2.87,3.79,4.59,2.6,6.29,0.59,2.43
2.29,2.13,4.85,3.73,1.37,3.96,2.57,5.46,4.26,4.24,7.59,6.01
7.5,1.45,4.19,1.99,7.06,2.66,4.58,7.06,2.53,1.71,2.52,4.93
9.09,5.3,3.71,3.75,5.78,3.77,3.92,5.71,6.13,3.9,3.45,2.09
2.39,1.01,6.92,6.28,2.51,3.49,3.47,2.09,1.97,4.1,3.21,0.86
0.52,4.36,1.5,4.07,4.48,4.52,3.83,2.87,3.38,3.66,1.53,4.38
4.5,2.7,2.37,5.72,3.05,5.15,3.4,2.83,2.42,1.76,3.71,2.15
3.32,2.89,7.72,8.91,5.62,4.05,1.87,3.04,2.85,4.64,6.34,7.08
2.15,4.09,6.41,5.33,8.29,3.36,7.05,2.32,2.58,2.99,2.44,2.68
1.46,2.44,1.83,1.07,5.25,4.01,4.49,4.28,5.47,1.75,6.06,1.45
4.18,3.5,1.96,5.13,1.21,2.49,5.34,4.47,2.56,2.73,6.3,5.97
5.47,1.32,2.98,5.44,2.66,3.3,6.25,4.24,4.29,4.21,2.96,2.26
3.02,4.13,2.43,2.48,4.74,1.13,6.31,3.52,2.78,2.7,6.29,1
2.2,3.24,4.34,4.03,8.22,5.87,6.55,5.04,7.31,5.09,2.86,0.81
4.49,1.84,2.87,3.68,7.67,2.82,3.76,8.24,2.2,4.26,2.18,5.06
4.6,1.38,5.37,3.98,2.19,2.82,5.6,5.01,4.17,2.1,1.82,4.11
1.77,1.96,3.65,1.72,3.07,4.77,4.77,5.14,4.06,1.47,4.74,4.99
2.64,2.91,7.08,4.37,1.34,2.72,2.72,3.99,5.82,4.13,2.88,4.76
5.59,3.59,7.34,2.92,3.69,3.68,5.62,5.96,2.84,0.85,3.68,2.31
3.15,2.4,1.87,1.87,3.98,2.24,4.46,1.92,4.29,6.85,5.35,2.43
5.77,2.33,4.33,4.95,3.8,5.25,7.2,3.77,5.87,6.38,2.37,7.96
3.24,2.56,4.92,4.04,3.21,2.13,5.22,5.69,2.16,2.46,4.28,3.99
4.58,4.61,5.22,4.55,6.23,5.05,2.09,2.64,1.98,2.65,1.31,1.52
7.39,2.71,4.96,2.79,3.05,1.76,1.42,5.52,9.58,3.47,2.35,3.01
3.16,2.16,4.64,3.31,3.82,4.27,5.51,5.8,5.15,0.75,3.31,3.52
3.01,2.86,6.11,1.79,3.02,5.39,2.96,3.65,2.75,0.97,1,2.14
2.18,0.75,4.34,4.18,4.21,4.89,1.67,3.77,3.89,7.04,5.29,4.41
2.85,4.99,4.16,3.1,3.63,8.61,3.92,4.94,6.17,4.89,4.51,5.99
2.11,2.53,3.48,5.48,3.64,2.84,7.28,4.65,5.8,2.35,4.74,3.32
4.3,2.5,4.37,4.1,2.75,3.66,4.57,2.13,1.28,11.98,3.94,3.63
5.13,1.91,0.81,3.59,3.18,7.42,5.35,3.75,5.69,6.63,6.4,2.18
3.74,2.02,4.37,9.07,1.71,3.97,4.58,4.73,1.04,5.23,2.14,5.54
2.19,5.07,3.75,2.9,4.6,3.34,3.66,2.53,6.27,2.86,4,6.63
2.94,0.67,2.07,4.73,4.38,6.79,4.91,7.37,4.14,5.75,2.25,8.44
2.61,5.51,9.72,2.55,3.4,2.32,3.28,2.48,3.34,5.28,2.14,3.5
3.63,2.87,5.67,5.85,3.55,3.11,3.98,17.16,6.32,4.4,3.85,4.39
2.8,1.28,1.9,2.89,4.12,4.38,3.34,4.7,4.22,6.35,1.44,5.78
2.9,3.45,3,2.74,3.88,9.58,5.48,4.51,2.37,2.14,2.88,4.92
3.11,5.27,4.16,3.8,5.14,3.37,5.42,4.35,2.68,3.65,4.63,4.89
